대분류명,소분류명,서비스상태,서비스명,결제방법,장소명,서비스대상,longitude,latitude
체육시설,테니스장,예약마감,5월 장충 테니스장 8번코트 (평일야간),유료,장충테니스장, 제한없음,127.00167192962464,37.55400560480704
체육시설,테니스장,예약마감,5월 장충 테니스장 9번코트 (평일야간),유료,장충테니스장, 제한없음,127.00167192962464,37.55400560480704
체육시설,테니스장,예약마감,6월 장충 테니스장 5번코트 (평일야간),유료,장충테니스장, 제한없음,127.00167192962464,37.55400560480704
체육시설,테니스장,예약마감,6월 장충 테니스장 6번코트 (평일야간),유료,장충테니스장, 제한없음,127.00167192962464,37.55400560480704
체육시설,테니스장,예약마감,6월 장충 테니스장 7번코트 (평일야간),유료,장충테니스장, 제한없음,127.00167192962464,37.55400560480704
체육시설,테니스장,예약마감,6월 장충 테니스장 8번코트 (평일야간),유료,장충테니스장, 제한없음,127.00167192962464,37.55400560480704
체육시설,테니스장,예약마감,6월 장충 테니스장 9번코트 (평일야간),유료,장충테니스장, 제한없음,127.00167192962464,37.55400560480704
체육시설,테니스장,예약마감,5월 장충 테니스장 4번코트 (평일주간),유료,장충테니스장, 제한없음,127.00167192962464,37.55400560480704
체육시설,테니스장,예약마감,5월 장충 테니스장 5번코트 (평일주간),유료,장충테니스장, 제한없음,127.00167192962464,37.55400560480704
체육시설,테니스장,예약마감,5월 장충 테니스장 6번코트 (평일주간),유료,장충테니스장, 제한없음,127.00167192962464,37.55400560480704
체육시설,테니스장,예약마감,5월 장충 테니스장 7번코트 (평일주간),유료,장충테니스장, 제한없음,127.00167192962464,37.55400560480704
체육시설,테니스장,예약마감,5월 장충 테니스장 8번코트 (평일주간),유료,장충테니스장, 제한없음,127.00167192962464,37.55400560480704
체육시설,테니스장,예약마감,5월 장충 테니스장 9번코트 (평일주간),유료,장충테니스장, 제한없음,127.00167192962464,37.55400560480704
체육시설,테니스장,예약마감,5월 장충 테니스장 4번코트 (평일야간),유료,장충테니스장, 제한없음,127.00167192962464,37.55400560480704
체육시설,테니스장,예약마감,5월 장충 테니스장 5번코트 (평일야간),유료,장충테니스장, 제한없음,127.00167192962464,37.55400560480704
체육시설,테니스장,예약마감,5월 장충 테니스장 4번코트 (주말),유료,장충테니스장, 제한없음,127.00167192962464,37.55400560480704
체육시설,테니스장,예약마감,5월 장충 테니스장 5번코트 (주말),유료,장충테니스장, 제한없음,127.00167192962464,37.55400560480704
체육시설,테니스장,예약마감,5월 장충 테니스장 6번코트 (주말),유료,장충테니스장, 제한없음,127.00167192962464,37.55400560480704
체육시설,테니스장,예약마감,5월 장충 테니스장 7번코트 (주말),유료,장충테니스장, 제한없음,127.00167192962464,37.55400560480704
체육시설,테니스장,예약마감,5월 장충 테니스장 8번코트 (주말),유료,장충테니스장, 제한없음,127.00167192962464,37.55400560480704
체육시설,테니스장,예약마감,5월 장충 테니스장 9번코트 (주말),유료,장충테니스장, 제한없음,127.00167192962464,37.55400560480704
체육시설,테니스장,예약마감,6월 장충 테니스장 4번코트 (평일주간),유료,장충테니스장, 제한없음,127.00167192962464,37.55400560480704
체육시설,테니스장,예약마감,6월 장충 테니스장 5번코트 (평일주간),유료,장충테니스장, 제한없음,127.00167192962464,37.55400560480704
체육시설,테니스장,예약마감,6월 장충 테니스장 6번코트 (평일주간),유료,장충테니스장, 제한없음,127.00167192962464,37.55400560480704
체육시설,테니스장,예약마감,6월 장충 테니스장 7번코트 (평일주간),유료,장충테니스장, 제한없음,127.00167192962464,37.55400560480704
체육시설,테니스장,예약마감,6월 장충 테니스장 8번코트 (평일주간),유료,장충테니스장, 제한없음,127.00167192962464,37.55400560480704
체육시설,테니스장,예약마감,6월 장충 테니스장 9번코트 (평일주간),유료,장충테니스장, 제한없음,127.00167192962464,37.55400560480704
체육시설,테니스장,예약마감,6월 장충 테니스장 4번코트 (평일야간),유료,장충테니스장, 제한없음,127.00167192962464,37.55400560480704
체육시설,테니스장,예약마감,6월 장충 테니스장 4번코트 (주말),유료,장충테니스장, 제한없음,127.00167192962464,37.55400560480704
체육시설,테니스장,예약마감,6월 장충 테니스장 5번코트 (주말),유료,장충테니스장, 제한없음,127.00167192962464,37.55400560480704
체육시설,테니스장,예약마감,6월 장충 테니스장 6번코트 (주말),유료,장충테니스장, 제한없음,127.00167192962464,37.55400560480704
체육시설,테니스장,예약마감,6월 장충 테니스장 7번코트 (주말),유료,장충테니스장, 제한없음,127.00167192962464,37.55400560480704
체육시설,테니스장,예약마감,6월 장충 테니스장 8번코트 (주말),유료,장충테니스장, 제한없음,127.00167192962464,37.55400560480704
체육시설,테니스장,예약마감,6월 장충 테니스장 9번코트 (주말),유료,장충테니스장, 제한없음,127.00167192962464,37.55400560480704
